group_name,group_type,model_name,exposure_at_20,history_share,relevant_test_share,PACPG_at_20,support_catalogue_items,support_train_interactions,support_test_interactions,support_users,support_recommendation_slots,metadata_coverage_rate,unknown_share,threshold_passed,threshold_reason_if_failed
Portuguese,language,ItemKNN,0.0,0.00034684595886481755,3.205128205128205e-05,-0.00034684595886481755,76,10683,1297,1,0,0.6728132561038199,0.3271867438961801,True,
Persian,language,ItemKNN,0.0,1.736111111111111e-05,6.578947368421052e-05,-6.578947368421052e-05,67,8836,1072,1,0,0.6728132561038199,0.3271867438961801,True,
Dutch,language,ItemKNN,0.0,0.0003304224787657218,0.0006426906426906427,-0.0006426906426906427,60,5040,625,4,0,0.6728132561038199,0.3271867438961801,True,
Polish,language,ItemKNN,0.0,0.000405264519110742,0.0005271231132933261,-0.0005271231132933261,55,8345,1061,4,0,0.6728132561038199,0.3271867438961801,True,
Standard Chinese,language,ItemKNN,0.0029028575440078765,0.0023957059948526366,0.002649734493917458,0.0002531230500904184,62,43490,5535,18,31,0.6728132561038199,0.3271867438961801,True,
Unknown language,language,ItemKNN,0.0,0.00021633807314990668,0.0004926887432895322,-0.0004926887432895322,8925,18713,2397,7,0,0.6728132561038199,0.3271867438961801,True,
English,language,SVD,0.9787604988510047,0.9691493129100534,0.963947204503013,0.009611185940951339,14831,14350411,1793593,400,7811,0.6728132561038199,0.3271867438961801,True,
Unknown language,language,SVD,0.0,0.00021633807314990668,0.0004926887432895322,-0.0004926887432895322,8925,18713,2397,7,0,0.6728132561038199,0.3271867438961801,True,
French,language,SVD,0.01574721096629387,0.02454738962414365,0.027993474752616362,-0.012246263786322494,1105,454770,56896,103,134,0.6728132561038199,0.3271867438961801,True,
Japanese,language,SVD,0.009897233186587903,0.013399049674318582,0.009780500305186094,-0.0035018164877306784,574,239228,29976,54,82,0.6728132561038199,0.3271867438961801,True,
Spanish,language,SVD,0.017481185826046554,0.021821248494702853,0.01704030725162341,-0.004340062668656299,542,324535,40348,71,140,0.6728132561038199,0.3271867438961801,True,
Italian,language,SVD,0.012117626086964697,0.01123042950150817,0.012990863171595222,-0.0008732370846305255,465,191051,24104,46,97,0.6728132561038199,0.3271867438961801,True,
German,language,SVD,0.009958404638068704,0.015225637869118019,0.017124113163996913,-0.007165708525928209,534,278263,34759,69,85,0.6728132561038199,0.3271867438961801,True,
Korean,language,SVD,0.0,0.00047549069715123145,6.424778761061947e-05,-0.00047549069715123145,152,17434,2173,2,0,0.6728132561038199,0.3271867438961801,True,
Russian,language,SVD,0.004286084381289788,0.0056296219394734,0.004821149802460398,-0.0013435375581836119,225,126389,15859,31,39,0.6728132561038199,0.3271867438961801,True,
Cantonese,language,SVD,9.089071997134707e-05,0.0011272892802239491,0.0018543806234601794,-0.0017634899034888324,138,35800,4516,10,1,0.6728132561038199,0.3271867438961801,True,
Hindi,language,SVD,0.0,0.0010074760109972148,0.0006232364634228669,-0.0010074760109972148,125,16793,2168,6,0,0.6728132561038199,0.3271867438961801,True,
Swedish,language,SVD,0.0002479185812996687,0.0007279569222875987,0.0014182373835511988,-0.00117031880225153,132,24210,3064,11,3,0.6728132561038199,0.3271867438961801,True,
Finnish,language,SVD,0.0,4.1871400951033225e-05,3.90625e-05,-4.1871400951033225e-05,88,7032,856,1,0,0.6728132561038199,0.3271867438961801,True,
Mandarin,language,SVD,0.003807614686285845,0.0023794106834011813,0.0024160919654138153,0.0013915227208720297,87,45456,5797,16,28,0.6728132561038199,0.3271867438961801,True,
Danish,language,SVD,0.0,7.739938080495356e-06,0.00025833333333333334,-0.00025833333333333334,75,9394,1126,2,0,0.6728132561038199,0.3271867438961801,True,
Portuguese,language,SVD,0.0005080333875292229,0.00034684595886481755,3.205128205128205e-05,0.00016118742866440532,76,10683,1297,1,2,0.6728132561038199,0.3271867438961801,True,
Persian,language,SVD,0.0,1.736111111111111e-05,6.578947368421052e-05,-6.578947368421052e-05,67,8836,1072,1,0,0.6728132561038199,0.3271867438961801,True,
Dutch,language,SVD,0.0,0.0003304224787657218,0.0006426906426906427,-0.0006426906426906427,60,5040,625,4,0,0.6728132561038199,0.3271867438961801,True,
Polish,language,SVD,0.0,0.000405264519110742,0.0005271231132933261,-0.0005271231132933261,55,8345,1061,4,0,0.6728132561038199,0.3271867438961801,True,
Standard Chinese,language,SVD,0.003807614686285845,0.0023957059948526366,0.002649734493917458,0.0011578801923683869,62,43490,5535,18,28,0.6728132561038199,0.3271867438961801,True,
Unknown language,language,SVD,0.0,0.00021633807314990668,0.0004926887432895322,-0.0004926887432895322,8925,18713,2397,7,0,0.6728132561038199,0.3271867438961801,True,
English,language,MPNet-content,0.9124897804502965,0.9691493129100534,0.963947204503013,-0.056659532459756856,14831,14350411,1793593,400,7232,0.6728132561038199,0.3271867438961801,True,
Unknown language,language,MPNet-content,0.0,0.00021633807314990668,0.0004926887432895322,-0.0004926887432895322,8925,18713,2397,7,0,0.6728132561038199,0.3271867438961801,True,
French,language,MPNet-content,0.06316108561591677,0.02454738962414365,0.027993474752616362,0.035167610863300405,1105,454770,56896,103,549,0.6728132561038199,0.3271867438961801,True,
Japanese,language,MPNet-content,0.027108690988090177,0.013399049674318582,0.009780500305186094,0.013709641313771595,574,239228,29976,54,220,0.6728132561038199,0.3271867438961801,True,
