group_name,group_type,model_name,exposure_at_20,history_share,relevant_test_share,PACPG_at_20,support_catalogue_items,support_train_interactions,support_test_interactions,support_users,support_recommendation_slots,metadata_coverage_rate,unknown_share,threshold_passed,threshold_reason_if_failed
Austria,country,CLIP-image-content,0.0,0.0019057577033846612,0.0018624158226301702,-0.0019057577033846612,77,23470,2877,12,0,0.6847642789060782,0.31523572109392184,True,
Switzerland,country,CLIP-image-content,0.0020920968929064475,0.0014657561340548617,0.002358400412918458,-0.00026630352001201073,95,35282,4459,14,21,0.6847642789060782,0.31523572109392184,True,
Romania,country,CLIP-image-content,0.0,0.0,0.0,0.0,61,3078,388,0,0,0.6847642789060782,0.31523572109392184,True,
Unknown country,country,CLIP-image-content,0.0,4.484998322688324e-05,0.0001558485374274848,-0.0001558485374274848,8599,7408,949,4,0,0.6847642789060782,0.31523572109392184,True,
United Kingdom,country,Hybrid,0.10607610626800405,0.13408533501525785,0.1271008472470292,-0.028009228747253798,2480,2135271,265749,231,871,0.6847642789060782,0.31523572109392184,True,
France,country,Hybrid,0.044935231504480165,0.043141427774692855,0.04688649004265924,-0.001951258538179075,1820,797730,98882,145,383,0.6847642789060782,0.31523572109392184,True,
Germany,country,Hybrid,0.035620566744559316,0.03228676809990919,0.031164293836632346,0.003333798644650124,1038,682445,85509,111,311,0.6847642789060782,0.31523572109392184,True,
Italy,country,Hybrid,0.02320526261519026,0.020264729775575554,0.021971696261056183,0.0012335663541340781,804,320173,39914,81,187,0.6847642789060782,0.31523572109392184,True,
Spain,country,Hybrid,0.0023021180955816096,0.0037052399984905393,0.006318118948888027,-0.004016000853306417,390,115625,14171,28,19,0.6847642789060782,0.31523572109392184,True,
Sweden,country,Hybrid,0.0,0.0009651208898595118,0.0017639173176521854,-0.0017639173176521854,218,44720,5581,12,0,0.6847642789060782,0.31523572109392184,True,
Finland,country,Hybrid,0.0,7.817709390426266e-05,0.0,-7.817709390426266e-05,129,10329,1235,0,0,0.6847642789060782,0.31523572109392184,True,
Denmark,country,Hybrid,0.0,0.0004835339790137984,0.0008127764446363125,-0.0008127764446363125,167,30758,3825,7,0,0.6847642789060782,0.31523572109392184,True,
Belgium,country,Hybrid,0.002006235870252612,0.0019216597248786938,0.0014573064013562382,8.457614537391825e-05,180,30003,3819,9,15,0.6847642789060782,0.31523572109392184,True,
Netherlands,country,Hybrid,0.0,0.0009476476651355339,0.002396146951101336,-0.002396146951101336,124,36626,4628,17,0,0.6847642789060782,0.31523572109392184,True,
Ireland,country,Hybrid,0.0012459755955885696,0.003858708552644462,0.00258745611111878,-0.0026127329570558924,129,78690,9851,19,13,0.6847642789060782,0.31523572109392184,True,
Russia,country,Hybrid,0.0,5.2828665408969566e-05,0.000583644296879591,-0.000583644296879591,76,10796,1350,4,0,0.6847642789060782,0.31523572109392184,True,
Poland,country,Hybrid,0.0,0.0019503540679978834,0.0033526944434510986,-0.0033526944434510986,76,31766,3960,13,0,0.6847642789060782,0.31523572109392184,True,
Norway,country,Hybrid,0.0010389928882032055,0.0008582305041414256,0.0011111761909202674,-7.218330271706189e-05,85,21350,2614,9,9,0.6847642789060782,0.31523572109392184,True,
Austria,country,Hybrid,0.0,0.0019057577033846612,0.0018624158226301702,-0.0019057577033846612,77,23470,2877,12,0,0.6847642789060782,0.31523572109392184,True,
Switzerland,country,Hybrid,0.0,0.0014657561340548617,0.002358400412918458,-0.002358400412918458,95,35282,4459,14,0,0.6847642789060782,0.31523572109392184,True,
Romania,country,Hybrid,0.0,0.0,0.0,0.0,61,3078,388,0,0,0.6847642789060782,0.31523572109392184,True,
Unknown country,country,Hybrid,0.0,4.484998322688324e-05,0.0001558485374274848,-0.0001558485374274848,8599,7408,949,4,0,0.6847642789060782,0.31523572109392184,True,
